,name_audio,transcription_original,transcription_whisper,WER%
46,0087271007-VOX@NET_GL1-20230830-163202-998db8b7-7d80-45c8-8294-f2c579a43a5e.mp3,"S'il vous plaît, Nous vous rappelons que la traverser des voies est strictement interdite. La traversée les interdites, vous vous exposez à des poursuites. Par ailleurs, un train, peu entrer en gare ou entrer en mouvement à tout moment."," Voir dans nos sons s'il vous plaît, nous vous rappelons que la traversée des voies est strictement interdite. La traversée des voies est strictement interdite, ce que vous vous exposez à des poursuites. Par ailleurs, un train peut entrer en gare ou entrer en mouvement à tout moment.",32
47,0087271007-VOX@NET_GL1-20230903-121820-e5587709-adee-43d2-8789-944654e7817a.mp3,Votre attention s il vous plaît pour les voyageurs empruntant le TER à destination de Amiens départ prévu initialement à 12h04 à la voie numéro 16 Une avarie survenue sur le matériel nous contraint de reporter votre départ d environ 30 Min Une avarie concernant le matériel nous contraint de reporter votre départ d environ 30 Min pour votre Ter à destination d'Amiens," Votre attention s'il vous plaît, je pourrais les voyager en printant le TER à destination Damien, départ prévu initialement à midi 4 à la voie numéro 16. Une avarie survenue sur le matériel nous contraint de reporter votre départ d'environ 30 minutes. Une avarie concernant le matériel nous contraint de reporter votre départ d'environ 30 minutes pour votre TER à destination Damien.",20
48,0087271007-VOX@NET_GL1-20230911-210945-8cb234bb-646e-4af4-afbe-a3e1d77267db.mp3,"Voie 11, votre TER à destination de Creil entre en gare. Pour votre sécurité, éloignez vous de la bordure du quai, Attendez l'arrêt complet du train ainsi que la descente et les voyageurs. Avant de prendre place à bord voie 11, votre TER à destination de Creil entre en gare."," Voix 11, votre TER à destination de Creil, en Prandiard. Pour votre sécurité, éloignez-vous de la bordure du Tchè et attendez l'arrêt complet du train ainsi que la descente des voyageurs. Avant de prendre le place à bord, voix 11, votre TER à destination de Creil, en Prandiard.",21
49,0087271007-VOX@NET_GL1-20230903-125810-bfd7a097-0694-4908-aeaa-6da37b4aa6b6.mp3,Pour les voyageurs du TER  Saint-Just-en-Chaussée départ 13h07 votre départ s effectuera depuis la voie numéro 11 Le TER de Saint-Just-en-Chaussée Départ 13h07 partira de la voie 11," Pour les voyageurs à destination de Saint-Juent-chaussée départ 13h07, votre départ s'éteira depuis la voie numéro 11. Le voyageur à destination de Saint-Juent-chaussée départ 13h07 partira de la voie 11.",32
50,0087271007-VOX@NET_GL1-20230830-222335-74da8109-68f7-4699-aeae-213fd080cf1d.mp3,Mesdames Messieurs j informe les voyageurs du TER ou de France à destination de Creil Départ prévu à 22h34 initialement qu en raison de la présence d un bagage délaissé Votre train est retenu à l affichage retard sera surrement à moins prévoir Nous invitons les voyageurs  souhaitant se rendre à Orry Chantilly Creil à prendre place dans le TER de France à destination de Amiens Départ 22h28 à la voie numéro 17 Merci de votre attention," Mesdames, Messieurs, j'informe les voyageurs du TERAux de France à destination de Creil. Départ prévu à 22h34, initialement, qu'en raison de la présence d'un bagage délaissé, votre train est retenu à l'affichage. Un retard sera sûrement à prévoir. Nous invitons les voyageurs souhaitant se rendre à Aurich-Anti-Crey à prendre place dans le TERAux de France à destination de Amiens. Départ 22h28 à la voie numéro 17. Merci de votre attention.",11
51,0087271007-VOX@NET_GL1-20230830-172315-7d1ed838-cc07-4080-bb35-78c12302215a.mp3,"Voie 13, TER entre en gare, Éloignez vous de la bordure du quai. Attendez l'arrêt complet du train avant de prendre place à bord voie 13, votre TER à destination de Saint Quentin entre en gare"," Voix 13, votre TER en 30 à air, éloignez-vous de la bordure du tché. Attendez l'arrêt complet du train avant de prendre le place à bord. Voix 13, votre TER à destination des 51 en 30 à air.",40
52,0087271023-DCT-20230808-130519-8b6b8bd5-2df6-408e-9d74-f37c69a3ff14.mp3,"à la voie 43, Mesdames et Messieurs, votre prochain train va faire son entrée en gare, train de la ligne B à destination de l'aéroport Roissy-Charles-de-Gaulle. Attention toutefois, le train en question ne desservira que les gares donne les sous bois de l'aéroport Roissy Charles de Gaulle 1 et de l'aéroport Roissy-Charles-de-Gaulle de son terminus."," A la voie 43, Mesdames et Messieurs, votre prochain train va faire son entrée en gare. Train de la ligne B à destination de l'aéroport Roissy-Charles-de-Gaulle. Attention toutefois, le train en question ne desservira que les gardes d'hôles et sous bois de l'aéroport Roissy-Charles-de-Gaulle 1 et de l'aéroport Roissy-Charles-de-Gaulle 2 sont terminus.",10
53,0087271023-PRE-20230825-081711-68d663ee-12ab-47a9-bbd4-f2c8ad4b188f.mp3,Info travaux RER B Sud jusqu au 25 août le trafic est interrompu entre Bourg La Reine et Robinson. Vous avez la possibilité d emprunter les différents bus de," Info-travaux RERB Sud jusqu'au 25 août, le trafic est interrompu entre Bourg-Larenne et Robinson. Vous avez la possibilité d'emprunter les différents bus de...",13
54,0087271023-DCT-20230808-203943-549d34b3-5d7a-4def-a12d-708c0c0e9b7e.mp3,"Madame Monsieur, l'incident est terminé à l'aéroport Charles de Gaulle 2. Le trafic va reprendre progressivement. Cela faisait suite aux affaires oubliées en gare de l'aéroport Charles-de-Gaulle 2."," Madame, Monsieur, l'incident est terminé à l'aéroport Charles de Gaulle 2. Le trafic va reprendre progressivement. Cela faisait suite à des affaires oubliées en gare de l'aéroport Charles de Gaulle 2.",6
55,0087271007-VOX@NET_GL1-20230911-163007-af0a4a15-dadf-4960-bb9e-3b48c1c44fd4.mp3,"Voie numéro 11, voie numéro 11, votre train rentre en gare, merci de vous tenir éloignés de la bordure du quai, merci d'attendre l'arrêt complet de votre train avant de prendre place à bord."," Fin numéro 11, fin numéro 11. Votre train rentre en gare. Merci de vous tenir éloigné de la bordure du quai. Merci d'attendre l'arrêt complet de votre train avant de prendre place à bord.",8
56,0087271023-DCT-20230808-155345-01b90438-5a50-4cf5-a3cb-12a07297e1b2.mp3,"Voie 43 le train, la prochain train Paris pour Charles de Gaulle 2 il sera direct jusqu'à Aulnay-sous-Bois puis direct jusqu'à l'aéroport Charles de Gaulle 1"," On va à 43, le train à l'approche est un train pour la porte Charles de Gaulle 2. Il sera dirigé jusqu'à Honest Web, il est dirigé jusqu'à la porte Charles de Gaulle 1.",61
57,0087271007-VOX@NET_GL1-20230830-192120-a06ce468-512d-4d34-9559-3680a47d135f.mp3,"Voie numéro 8, votre TER à destination de Compiègne, départ 19h37 entre en gare pour votre sécurité et le niveau de la bordure du quai. Attendez l'arrêt complet du train ainsi que la descente des voyageurs avant de prendre place à bord voie 8, votre TER à destination de Compiègne entre en gare pour votre sécurité, éloignez vous de la bordure du quai et Attendez l'arrêt complet du train ainsi que la descente des voyageurs avant de prendre place à bord."," Voie numéro 8, votre TVR à destination de Compiègne, départ de Tv 37, en prend gare pour votre sécurité. Éloignez-vous de la bordure du tquet, attendez l'arrêt complet du train ainsi que la descente des voyageurs avant de prendre place à bord. Voie 8, votre TVR à destination de Compiègne, en prend gare pour votre sécurité. Éloignez-vous de la bordure du tquet et attendez l'arrêt complet du train ainsi que la descente des voyageurs avant de prendre place à bord.",15
58,0087271023-DCT-20230808-201957-cede6f0c-d3ae-43ae-a5c8-2e0a3197a954.mp3,"Flash INFO trafic, Madame, Monsieur, Bonsoir et bienvenue à Paris Gare du Nord."," Appuiage infotrafic, monsieur bonsoir et bienvenue à Paris-Gare du Nord.",30
59,0087271007-VOX@NET_GL1-20230830-191624-82bc5d1a-503b-485d-992e-69015e7fea41.mp3,"Annonce pour les voyageurs empruntant le TER, destination de Beauvais, départ 19h37 votre TER et actuellement en ligne entrera en gare dans quelques minutes à la voie numéro 20. Le TER à destination de Beauvais, départ 19h37 entrera en gare dans quelques minutes à la voie 20. Lors de votre arrivée sur la voie 20, merci de patienter en vous donnant éloigner de la bordure."," annonce pour les voyageurs en printemps le TV à destination de Beauvais départ 19h37. Votre TV est actuellement en ligne, entre en gare dans quelques minutes à la voie numéro 20. Le TV à destination de Beauvais départ 19h37, entre en gare dans quelques minutes à la voie 20. Lors de votre arrivée sur la voie 20, merci de patienter en vous tenant éloignés de la bordure d'hôtel.",20
60,0087271023-DCT-20230825-173021-b830f9d9-8db1-4664-84fd-716e2b7fed38.mp3," Flash info trafic, madame, monsieur, Bonjour et bienvenue à Paris Gare du Nord Il est 17h30 et enfin ensemble un point sur ce qui vous attend sur B et D les horaires affichée sont respectés Même chose côté correspondances métro 2 4 et 5 avec la ligne E et h parlons travaux le trafic interrompu entre gare du Nord aéroport Charles de Gaulle 2 Mitry à partir de 20h45 la gare de Bayonne n'est pas déservie entre bourg la reine et arcueil le trafic est interrompu Trop beau la reine et Robinson sur la ligne D le trafic interrompu entre Paris gare de Lyon et Creil à partir de 23h20 Il est interrompue entre Paris gare de Lyon et Creil à partir du samedi à 22h00 au dimanche à 08h50 Pour plusieurs renseignements je vous invite à vous rendre sur l appli de Ile-de-France Mobilités, Transilien. com,  ratp.fr SNCF connect et les  autres applis de mobilités"," Flash info, trafic.",98
61,0087271007-VOX@NET_GL1-20230905-135603-7977aa94-28ef-45e9-bc50-12eda5550ec8.mp3,"Annonce pour les voyageurs empruntant le TER à destination de Creil. Départ 14h18, votre TER actuellement en ligne, il entrera en gare dans quelques minutes à la voie 17. le TER à destination de Creil départ 14h18, on trouvera un gare dans quelques minutes à la voie 17. Lors de votre arrivée sur la voie 17, merci de patienter en vous tennant éloigner de la bordure du quai."," annonce pour les émissions en prenant le TER à l'assignation de Creil, départ 14h18. Votre TER est actuellement en ligne, il entre en gare dans quelques minutes à la voie 17. Le TER à l'assignation de Creil, départ 14h18, entre en gare dans quelques minutes à la voie 17. Lors de votre arrivée sur la voie 17, merci de patienter en vous tenant éloignés de la bordure du ciel.",22
62,0087271007-VOX@NET_GL1-20230904-115908-69088419-d7a6-4fa4-8d27-3c6b6159f295.mp3,Service international informe les voyageurs à destination de Amsterdam et Bruxelles Départ prévu 12h21 que vos Talys sont actuellement en cours de préparation en gare et sont affichés dans quelques minutes Les Thalys à destination d Amsterdam de Bruxelles départ 12h21 sont en cours de préparation  en gare et vont etre affiché dans quelques minutes," Thalys international informe les voyageurs à destination d'Amsterdam et Bruxelles. Départ prévu, midi 21. Que vos Thalys sont actuellement en cours de préparation en Yard et sont affichés dans quelques minutes. Les Thalys à destination d'Amsterdam et Bruxelles, départ midi 21, sont en cours de préparation en Yard et vont être affichés dans quelques minutes. Thalys international informe passengers to Amsterdam and Brussels. Et bus time 12h21. As your Thalys are currently being prepared, we will be in Spain in a few minutes.",72
63,0087271007-VOX@NET_GL1-20230830-185712-7247d661-56f5-4c5d-90aa-1eb45fb50c56.mp3,"Annonce pour les voyageurs empreintant le TER  à destination de Maubeuge. Départ prévu 19h19 votre TER, est actuellement en   cours d'acheminement en provenance des garages et va entrer en gare dans quelques minutes à la voie numéro 14. Le TER de Maubeuge, départ prévu 19h19, va entrer en gare dans quelques minutes à la voie 14. Lors de votre arrivée sur la voie 14, merci de patienter en vous tenant éloigner de la bordure.",Annonce pour les voyageurs en portant le TER à destination de Maubeuge départ prévu 19h19. Votre TER est actuellement en cours d'acheminement en provenance de dégarage et va entrer en gare dans quelques minutes à la voie numéro 14. Le TER à destination de Maubeuge départ prévu 19h19 va entrer en gare dans quelques minutes à la voie 14 lors de votre arrivée sur la voie 14. Merci de patienter en vous tenant éloignés de la bordure du quai.,12
64,0087271007-VOX@NET_GL1-20230830-190007-0eaf9d1f-fd44-45fd-b0be-f728cca6d8e2.mp3,"Voie numéro 14, votre TER à destination de Maubeuge, départ prévu 19h19 entre en gare. Pour votre sécurité, merci de vous éloigner de la bordure du quai. Et merci d'attendre un arrêt complet des trains avant de prendre place à bord. Voie numéro 14, votre TER destination de Maubeuge, départ 19h19. Entre en gare pour votre sécurité, éloignez vous de la bordure du quai. Attendez l'arrêt complet des trains. Avant de prendre place à bord."," Voie numéro 14, votre TER à destination de Maubeuge, départ prévu 19h19, entre en gare. Pour votre sécurité, merci de vous éloigner de la bordure du télétrain et merci d'attendre l'arrêt complet du train avant de prendre place à bord. Voie numéro 14, votre TER à destination de Maubeuge, départ 19h19, entre en gare. Pour votre sécurité, éloignez-vous de la bordure du télétrain. Attendez l'arrêt complet du train avant de prendre place à bord.",10
65,0087271007-VOX@NET_TM1-20230830-094620-8cc06362-6cd3-437f-aed9-87b6a6617d8f.mp3,"L'eurostar 9019 à destination de Londres Saint Pancras, départ 10h13 est maintenant prêt à l'embarquement à la voie numéro 5 ?",L'Eurostar 9019 à destination de Londres-Saint-Pancras départ 10h13 et maintenant prêt à l'embarquement à la voie numéro 5.,4
66,0087271023-DCT-20230902-004526-7813b296-f22d-499d-ba72-fec53a724cab.mp3,"A la voie 42,Madame, Monsieur, à la voie 42 , je vous informe que vous avez entré en direction de Robinson et à la voie 44 un train direction de Massy Palaiseau. Le premier départs, se faire de secteur de la voie 44, premier départ voie 44."," A la voie 42, je vous informe que vous êtes en direction de Roubaix-Saint et à la voie 44, en direction de Massy-Palle. Ils ont eu le premier départ de la voie 44.",51
67,0087271007-VOX@NET_GL1-20230831-072749-30c72353-6bf8-4bc4-bb07-70ef9bbff5b9.mp3,"Mesdames, Monsieurs, l'attente du matériel suite à la prise en charge d une personne malade nous contraint à retarder l affichage du Ter prévu pour Creil prévu 07h 49 je vous prie de rester à l'écoute des annonces."," Madame, Monsieur, la tente du matériel suite à la prise en charge d'une personne malade nous contraint à retarder la fichage d'ITER pour Cray prévue à 7h49. Je vous prie le reste à l'écoute des annonces.",37
68,0087271007-VOX@NET_GL1-20230905-161837-010f54c5-5e6e-4212-b99b-92d35c353e99.mp3,"Voie numéro 11, voie numéro 11, votre train entre en gare pour votre sécurité. Merci de bien vouloir vous éloigner de la bordure du quai, d'attendre l'arrêt complet du train avant de prendre place à bord."," Voie numéro 11, voie numéro 11, votre train entre en gare pour votre sécurité. Merci de bien vouloir vous éloigner de la bordure du quai, d'attendre l'arrêt complet du train avant de prendre place à bord.",0
69,0087271007-VOX@NET_GL1-20230830-194459-fe19cc16-5f38-423e-bd19-cdbaf381303a.mp3,"Annonce pour les voyageurs à destination de Saint Juan chaussée départ prévus 20h07, votre TER est actuellement en ligne et entrera en gare dans quelques minutes à la voie numéro 21. le TER à destination de Saint Juan Chaussée départ prévu 20h07. Entrera en gare dans quelques minutes à la voie 21. Lors de votre arrivée sur la voie 21, merci de patienter vous tenant éloigner de la bordure du quais."," Annonce pour les voyageurs à destination de Saint-Juent-chaussée, départ prévu 20h07. Votre TER est actuellement en ligne. Il entrera en gare dans quelques minutes à la voie numéro 21. Le TER à destination de Saint-Juent-chaussée, départ prévu 20h07, entrera en gare dans quelques minutes à la voie 21. L'ordre de votre arrivée est sur la voie 21. Merci de ne pas se sentir. Vous tenons éloignés de la bordelite.",22
70,0087271023-DCT-20230808-142652-862e9722-0335-4b42-b97b-5f5056fd0285.mp3,"Voie 43 le train à l'approche, un train pour l'aéroport Charles-de-Gaulle 2. Il sera direct jusqu'à Aulnay-sous-Bois, puis direct jusqu'à au port Charles de Gaulle un."," Voir 43, le train à l'approche est un train pour l'aéroport Charles de Gaulle 2. Il sera dirigé jusqu'à Haunes-Soubois puis il ira jusqu'à l'aéroport Charles de Gaulle 1.",32
71,0087271023-DCT-20230902-064105-0486f839-f00e-4116-9495-7b10a4c02a42.mp3,"Voie 43. Le train actuellement à quai, un train pour aéroport charles De Gaulle 2 sera direct jusqu'à Aulnay sous bois, puis direct jusqu'à l'aéroport Charles de Gaulle 1"," Voir 43, le train actuellement à quai, un train pour les reports Charles de Gaulle 2, qui sera dirigé jusqu'à Haulet-Sauvois, puis direct jusqu'à les reports Charles de Gaulle 1.",31
72,0087271007-VOX@NET_GL1-20230903-161203-f76e0cb6-4edd-4f37-ac64-2ed042067800.mp3,Madame Monsieur votre TER à destination de Landes départ initialement prévu 15h58 est en place sur la voie 8 Son retard a été réévalué à 20 Min Donc je répète le retard de votre TER à destination de Landes est actuellement de 20 Min au départ Merci de votre attention," Mesdames et Messieurs, votre TER à destination de l'an, départ initialement prévu au 15h58, est en place sur la voie 8. Son retard a été réévalué à 20 minutes. Donc, je répète, le retard de votre TER à destination de l'an est actuellement de 20 minutes au départ. Merci de votre attention.",20
73,0087271007-VOX@NET_GL1-20230911-222752-9e07f4b9-6c81-447f-8a03-31097fd2ba34.mp3,"Voie numéro 16, votre TER est pris au départ, éloignez vous de la bordure, ne genez pas la fermeture automatique des portes. Attention au départ voie 16, votre train va partir."," Voix 16, votre TER est prêt au départ, éloignez-vous de la bordure du tient, ne gênez pas la fermeture automatique des portes. Attention au départ, voix 16, votre TER va partir.",25
74,0087271007-VOX@NET_GL1-20230905-161858-3c06f93a-4c99-4686-bcce-2985563e3043.mp3,Mesdames Messieurs je reviens vers les voyageurs du TER  France C14 à destination de Compiègne pour un départ initialement prévu à 16h36 que 5 Min de retard sont à prévoir en raison de conditions de départ non réunis," Mesdames et Messieurs, je reviens vers les voyageurs du TERO de France C14 à destination de Compiègne pour un départ initialement prévu à 16h36 que 5 minutes de retard sont à prévoir en raison de conditions de départ non réunies.",13
75,0087271023-DCT-20230830-160646-c5ed9201-b3c7-4597-ab26-812816f0adc1.mp3,"Flash INFO Trafic, Mesdames et Messieurs, Bonjour et bienvenue à Paris Gare du Nord. Nous sommes le mercredi 30 août, il est 16 h passé de  6 Min. Je vous propose de faire un point sur l'état des circulations concernant vos ligne B et D ou je n'ai rien à vous signaler de particulier au moment de traverser la capitale. De même concernant veux correspondances avec les lignes HK en gare de surface ou de même avec les lignes de métro parisien, a noté quelques travaux. Si vous devez voyager ce soir à partir de 22h45 avec une interruption entre "," Flash infotrafique, madames et messieurs, bonjour et bienvenue à Paris-Gare du Nord. Nous sommes le mercredi 30 août, il est 16h, passé de 6 minutes. Je vous propose de faire un point sur l'état des circulations concernant vos lignes B et D, où je n'ai rien à vous signaler de particulier au moment de traverser la capitale, de même concernant vos correspondances avec les lignes HK en garde-surface ou de même avec les lignes des métroparisiens. À noter quelques troubles si vous devez voyager ce soir à partir de 22h45 avec une interruption",53
76,0087271007-VOX@NET_GL1-20230830-175406-ed0e6443-63d5-403d-a444-29222afff7ec.mp3,Je reviens vers les voyageurs à destination de Beauvais. Départ 18h07. Votre TER est maintenant en cours de préparation en gare et sera affichée dans quelques minutes. le TER à destination de Beauvais départ 18h07 est en cours de préparation hier.," Je reviens vers les voyageurs à destination de Beauvais, départ 18h07. Votre TER est maintenant en cours de préparation en gare et sera affiché dans quelques minutes. Le TER à destination de Beauvais, départ 18h07, est en cours de préparation en gare.",7
77,0087271007-VOX@NET_TM1-20230830-151420-081006ca-d0e9-47b3-abab-c9f615f1410a.mp3,Mesdames Messieurs votre attention s il vous plaît l'eurostar numéro 9039 départ 15h13 pour Londres Saint Pancras International va partir embarquement immédiat voie numéro 3 Les dizaines Attention places euro Need at No immédiate boarding plateforme," Mesdames et Messieurs, votre attention, s'il vous plaît. L'Eurostar numéro 900039, départ 15h13 pour Londres, Saint-Pancrasse International, va partir. Embarquement immédiat, voie numéro 3. Ladies and gentlemen, your attention please, Eurostar number 9039, at 3.13 to London, Saint-Pancrasse International, is about to leave. Immediate boarding, platform number 3.",70
78,0087271023-DCT-20230808-180206-30b3bab4-117e-4d62-b2fa-ec4d424a8394.mp3,"Voie 42, le train qui rentre à quai est un train pour Fontaine Michalon.",Voilà 42 le train qui rentre à quai et un train pour Fontaine-Michelon.,21
79,0087271007-VOX@NET_GL2-20230830-183130-3b8bdcf5-a723-427d-8854-2921e635b971.mp3,"À la voie 15, à la voie 15, nous vous rappelons. Que descendre sur le voie et strictement interdit, descendre sur les voies est strictement interdit pour vous exposer à des poursuites. Et par ailleurs un train peut entrer en gare à tout moment.",à la voie 15 à la voie 15 nous vous rappelons que descendre sur les voies est strictement interdit. Descendre sur les voies est strictement interdit pour vous exposer les poursuites et par ailleurs un train peut entrer en gare à tout moment.,11
80,0087271007-VOX@NET_GL1-20230905-140059-6ee738da-045f-4e7a-82aa-034bb74e786c.mp3,"Voie numéro 17, votre TER à destination de Creil entre en gare  r votre sécurité, éloignez vous de la bordure du quai. Attendez l'arrêt complet du train ainsi que la descente et des voyageurs avant de prendre place à bord voie 17 votre TER à destination de Creil entre en gare."," Voie numéro 17, votre TER à destination de Cray en 30 yards. Pour votre sécurité, éloignez-vous de la bordure du quai. Attendez l'arrêt complet du train ainsi que la descente des voyageurs avant de prendre place à bord. Voie 17, votre TER à destination de Cray en 30 yards.",19
81,0087271007-VOX@NET_GL1-20230911-171928-25efb015-c98e-45cb-b452-ca9b2fda97f9.mp3,"Voie numéro 9, voie numéro 9, votre train rentre en gare, merci de vous tenir éloignés de la bordure du quai, merci d'attendre l'arrêt complet de du train ainsi que la descente des voyageurs avant de prendre place à bord."," Voie numéro 9, voie numéro 9. Votre train rentre en gare. Merci de vous tenir éloigné de la bordure du quai. Merci d'attendre l'arrêt complet du train ainsi que la descente des voyageurs avant de prendre place à bord.",4
82,0087271023-DCT-20230808-100213-871641d6-d2c6-402b-9de2-27c89e510754.mp3,"Voie 41, messieurs, dames voyageurs de la ligne D, Je vous informe que tout vos prochains trains partiront de la voie 43, même quai voie d'en face. Je répète tout, vos prochains trains partiront de la voie 43, même quai voie d'en face. Le train actuellement à quai voie 41 est maintenu en gare en raison d'une intervention de pompiers. Elle fait suite à un malaise voyageur actuellement en cours, ce train ne partira pas."," Voix 41, messieurs, dames, voyageurs de la ligne D, je vous informe que tous vos prochains trains partiront de la voie 43, même que voie d'en face. Je répète, tous vos prochains trains partiront de la voie 43, même que voie d'en face. Le train actuellement à Quezbois 41 est maintenu en gare en raison d'une intervention de pompiers. Elle fait suite à un malaise voyageur actuellement en cours. Ce train ne partira pas",33
83,0087271460-DCT-20230818-065037-503c040c-f50e-4ac1-be63-c8273ce09810.mp3,"Essai de sonorisation, voie 22, voie 24, essai de sonorisation."," Essai de sonorisation, voie 22, voie 24, essai de sonorisation.",0
84,0087391003-COE_1-20230905-072757-04cee149-5d14-40ed-ae7c-2cc3f3545156.mp3,"Voie numéro 11 voie de numéro 11. Ce train ne prend pas de voyageurs, voie numéro 11 numéro 11. Ce train ne prend pas de voyageurs. Merci de bien vouloir descendre du train et n'oublier aucun effet personnel."," Voie de mot 11, voie de mot 11, ce train ne prend pas de voyageurs. Voie de mot 11, voie de mot 11, ce train ne prend pas de voyageurs. Merci de bien vouloir descendre du train et n'oubliez aucun effet personnel.",23
85,0087271460-DCT-20230822-070622-7466476e-204a-472e-97ac-7840d899e213.mp3,"Pour le service pour le service essai de sonorisation pour le service pour les services, essai de sonorisation."," pour le service, pour le service et ses deux sonorisations, pour le service, pour le service et ses deux sonorisations.",55
86,0087271460-DCT-20230817-202735-9eff33cd-a27b-46ec-a62c-c74eb3dccee5.mp3,"Voie 22, je vous rappelle que plus aucun train ne monte jusqu'à l'aéroport Roissy Charles-de-Gaulle 2 donc le train actuellement à quai et terminus son prochain départ se fera en direction de Paris. Tous les voyageurs à descendre de ce train en n'oubliant pas vos effets personnels. Je répète, voie 22  le train actuellement à quai, il terminus pour les voyageurs souhaitant se rendre à l'aéroport Roissy Charles de Gaulle 2 je vous invite à monter d'un étage et aller prendre la navette, CDG Val. Merci de votre attention.e"," Voix 22, je vous rappelle que plus aucun train ne monte jusqu'à l'aéroport Roissy Charles de Gaulle 2, donc le train actuellement attaqué est terminus. Son prochain départ se fera en direction de Paris, j'invite donc tous les voyageurs à descendre de ce train en n'oubliant pas vos effets personnels. Je répète, voix 22, le train actuellement attaqué est terminus. Pour les voyageurs souhaitant se rendre à l'aéroport Roissy Charles de Gaulle 2, je vous invite à monter d'un étage et à aller prendre la navette Cégéval. Merci de votre attention.",15
87,0087391003-COE_1-20230904-211402-4837eaa2-0f5f-496b-89d9-1e5f6dec0e70.mp3,"Ce train ne prend pas de voyageurs. Voie numéro 12, ce train ne prend pas de voyageur."," Voie n°12, ce train ne prend pas de voyageurs.",52
88,0087391003-COE_1-20230830-181659-340641df-6ed6-4beb-80bd-7d2f80c5bd97.mp3,"Voie numéro 14, ce train ne prend pas de voyageurs voie numéro 14, voie numéro 14. Ce train ne prend pas de voyageurs. Merci de bien vouloir descendre du train et n'oublier aucun effet personnel."," Voile mot 14, ce train ne prend pas de voyageurs. Voile mot 14, voile mot 14, ce train ne prend pas de voyageurs. Merci de bien vouloir descendre du train et n'oubliez aucun effet personnel.",19
89,0087271460-DCT-20230810-095738-092124a0-40b9-4a15-85f9-c5588c74f9e7.mp3," Voie. 21, voie. 21, je vous rappelle que le train actuellement à quai et terminus son prochain départ se fera en direction des voies de garage pour votre sécurité. Je vous invite donc à vous éloigner de la bordure du quai pour les voyageurs souhaitant se rendre à l'aéroport Roissy Charles de Gaulle 2 un autre train sera mise à quai dans quelques instants à la voie 23 pour votre sécurité, je vous invite donc à vous éloigner de la bordure du quai. Merci."," Voie 21, voie 21, je vous rappelle que le train actuellement tâqué est terminé, son prochain départ se fera en direction des voies de garage. Pour votre sécurité, je vous invite donc à vous éloigner de la board George Uke. Pour les voyageurs souhaitant se rendre à l'aéroport Wassichard de Gaulle 2, un autre train sera mis à quai dans quelques instants à la voie 23. Pour votre sécurité, je vous invite donc à vous éloigner de la board George Uke. Merci.",15
90,0087391003-COE_1-20230902-190348-e6120d17-6385-49dc-b167-a36e0f576818.mp3,Voie 16 ce train ne prend pas de voyageurs. Voie de Meaux 16 ne prend pas de voyageur.," Voix de mot 16, voie de mot 16, ce train ne prend pas de voyageurs.",72
91,0087391003-COE_1-20230907-181439-598e10d9-0718-4632-baa5-5e07dcee0cef.mp3,"Mesdames, Messieurs, voie numéro 20, seuls la seconde partie du train prend les voyageurs voie 20. Seule la seconde partie du train prend les voyageurs. L'arrière du train restera en gare voie 20. L'arrière du train reste en gare, seule la seconde partie du train prend les voyageurs."," Mais la messieurs voie numéro 20, seule la seconde partie du train prend les voyageurs. Voie 20. Seule la seconde partie du train prend les voyageurs. L'arrière du train restera en gare. Voie 20, l'arrière du train reste en gare. Seule la seconde partie du train prend les voyageurs.",6
92,0087391003-COE_2-20230901-180014-f7cc0a3c-27e6-4be1-91af-9483ac532294.mp3,"Mesdames, messieurs,  voie numéro 9, prenez garde à la fermeture automatique des portes, le départ et maintenant voie numéro 9, prenez garde à la fermeture automatique des portes. Le départ et imminent."," Voie numéro 9, prenez garde à la fermeture automatique des portes, le départ est imminent.",56
93,0087271494-VOX@NET_1-20230829-080133-4c0de612-b959-4a52-a392-c85935deba10.mp3,"Mesdames, Monsieurs votre attention s'il vous plaît, nous demandons au propriétaire qui a oublié un sac à dos de couleur marron et noir posé au sol, porte S et priée de venir le récupérer immédiatement. Le propriétaire qui a oublié un sac à dos de couleur marron et noir posé au sol, portes S au niveau 2 de la gare SNCF et priée de venir le récupérer immédiatement."," Mesdames et messieurs, votre attention, s'il vous plaît. Nous demandons au propriétaire qui a oublié un sac à dos de couleur marron et noir posé au sol porte S et priez de venir le récupérer immédiatement. Le propriétaire qui a oublié un sac à dos de couleur marron et noir posé au sol porte S au niveau 2 de la gare SNCF et priez de venir le récupérer immédiatement.",7
94,0087391003-COE_1-20230905-080055-03452990-df5f-477f-943e-4e200368fee6.mp3,Voie 12 ce train ne prend pas de voyageurs 12 au 12. Ce train ne prend pas de voyageur.," 12, ce train ne prend pas de voyageurs.",57
95,0087271460-DCT-20230822-084418-915583d0-a883-411d-8f4c-6d4734ed1468.mp3,"Voyageurs, je vous informe que votre prochain départ à destination de Paris se fera de la voie 22, il sera sans arrêt jusqu'à Aulnay-sous-Bois pour les voyageurs souhaitant se rendre au texte à Villepinte, au à Sevran, un autre train se trouve actuellement à quai à la voie 21. Il desservira toutes les gares de son parcours."," Voyageurs, je vous informe que votre prochain départ à destination de Paris se fera de la voie 22. Il sera sans arrêt jusqu'à Haulnissoua. Pour les voyageurs souhaitant se rendre au PECS à Ville-Pinto à Sevran, un autre train se trouve actuellement à quai à la voie 21. Il desservira toutes les gares de son parcours.",10
